dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-8,8,8,8,0.015219,0.016416,0.022963
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-12,12,12,12,0.035321,0.043902,0.037574
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-16,16,16,16,0.069124,0.072152,0.076179
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-24,24,24,24,0.18938,0.204897,0.207994
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-32,32,32,32,0.371971,0.396523,0.417325
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-48,48,48,48,0.885425,0.937117,1.012693
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-64,64,64,64,1.691815,1.802878,1.949144
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-96,96,96,96,4.102851,4.371726,4.67922
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-128,128,128,128,7.796229,8.285292,8.960177
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-160,160,160,160,12.716753,13.469125,14.600546
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-192,192,192,192,18.836043,20.020901,21.333659
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-224,224,224,224,26.585059,28.11073,30.342855
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-240,240,240,240,30.873211,32.59669,35.087066
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-248,248,248,248,33.136059,35.184161,37.639581
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-252,252,252,252,34.435191,36.458828,39.235901
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-128,128,0,0,3.322395,1.735686,0.191942
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-224,224,0,0,11.419017,5.964952,0.643693
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-240,240,0,0,13.369614,6.963202,0.72648
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-248,248,0,0,14.519263,7.56009,0.771283
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-252,252,0,0,15.001728,7.817504,0.813389
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-255,255,0,0,15.469045,8.071808,0.816058
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-128,0,128,0,3.046599,6.055547,1.041718
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-224,0,224,0,10.340378,20.578326,3.588502
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-240,0,240,0,12.038355,23.941311,4.173729
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-248,0,248,0,12.932303,25.679307,4.447804
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-252,0,252,0,13.42278,26.686454,4.594324
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-255,0,255,0,13.781184,27.45631,4.725162
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-128,0,0,128,1.513881,0.622616,7.90553
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-224,0,0,224,5.074819,2.072192,26.444081
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-240,0,0,240,5.959032,2.432839,31.055058
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-248,0,0,248,6.415957,2.614698,33.367852
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-252,0,0,252,6.599277,2.698876,34.387853
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-255,0,0,255,6.800951,2.768497,35.439406
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-128,0,128,128,4.522175,6.601459,8.721235
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-224,0,224,224,15.261254,22.437558,29.561532
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-240,0,240,240,17.710592,26.051561,34.300394
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-248,0,248,248,19.018857,27.890658,37.107223
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-252,0,252,252,19.786969,28.994718,38.351051
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,cyan-255,0,255,255,20.29218,29.771944,39.416301
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-128,128,0,128,4.864283,2.364677,7.941176
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-224,224,0,224,16.522884,8.028873,26.899167
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-240,240,0,240,19.371213,9.398304,31.538114
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-248,248,0,248,20.895262,10.131275,33.891453
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-252,252,0,252,21.58486,10.459299,35.288272
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,magenta-255,255,0,255,22.275134,10.79001,36.391943
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-128,128,128,0,6.319927,7.717819,1.177484
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-224,224,224,0,21.521187,26.172236,4.130547
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-240,240,240,0,25.056518,30.427758,4.791068
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-248,248,248,0,26.965794,32.843001,5.182293
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-252,252,252,0,27.992111,34.081928,5.314838
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,yellow-255,255,255,0,28.779852,35.0004,5.447897
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,red-mix,192,64,64,9.15093,5.664516,2.364303
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,green-mix,64,192,64,8.351817,15.064808,4.196424
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,blue-mix,64,64,192,4.982711,3.100261,19.172689
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,skin-light,194,150,130,13.92162,13.228604,9.726894
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,skin-dark,115,82,68,4.037617,3.684821,2.464393
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,white-end,255,255,255,35.500371,37.55127,40.478191
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,white-start,255,255,255,65.302098,68.909223,74.562999
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-8,8,8,8,0.023993,0.023778,0.022993
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-12,12,12,12,0.063115,0.082414,0.064735
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-16,16,16,16,0.126074,0.134175,0.13683
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-24,24,24,24,0.345191,0.376,0.376843
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-32,32,32,32,0.666367,0.718014,0.755368
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-48,48,48,48,1.626436,1.729862,1.849353
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-64,64,64,64,3.106884,3.322459,3.562534
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-96,96,96,96,7.515568,8.007178,8.555992
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-128,128,128,128,14.313771,15.207256,16.501782
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-160,160,160,160,23.268986,24.632124,27.085749
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-192,192,192,192,34.482609,36.645519,39.414168
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-224,224,224,224,48.76475,51.467345,55.921206
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-240,240,240,240,56.63734,59.692438,64.620786
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-248,248,248,248,60.878899,64.431551,69.416883
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,gray-252,252,252,252,63.243212,66.798661,72.255492
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-128,128,0,0,6.090137,3.1719,0.343212
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-224,224,0,0,20.989906,10.963462,1.159631
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-240,240,0,0,24.618344,12.818709,1.311191
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-248,248,0,0,26.741412,13.919592,1.391792
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-252,252,0,0,27.591596,14.371628,1.465514
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-255,255,0,0,28.481517,14.854883,1.472164
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-128,0,128,0,5.558308,11.081439,1.888539
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-224,0,224,0,18.926942,37.757579,6.550146
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-240,0,240,0,22.025407,43.94097,7.617558
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-248,0,248,0,23.655254,47.084097,8.116732
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-252,0,252,0,24.577086,48.945517,8.38342
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-255,0,255,0,25.200306,50.361588,8.626036
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-128,0,0,128,2.771072,1.129902,14.53012
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-224,0,0,224,9.371348,3.805992,48.953911
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-240,0,0,240,10.967948,4.463748,57.27372
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-248,0,0,248,11.829651,4.802976,61.628039
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-252,0,0,252,12.16091,4.956266,63.476176
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-255,0,0,255,12.53949,5.085438,65.455173
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-128,0,128,128,8.276509,12.10331,16.018529
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-224,0,224,224,27.992047,41.114273,54.507917
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-240,0,240,240,32.387638,47.692498,63.208378
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-248,0,248,248,34.952384,51.168543,68.530501
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-252,0,252,252,36.125652,53.159508,70.48771
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,cyan-255,0,255,255,37.07365,54.496375,72.793121
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-128,128,0,128,8.895461,4.3077,14.547246
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-224,224,0,224,30.312036,14.709775,49.554624
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-240,240,0,240,35.557597,17.235547,58.010844
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-248,248,0,248,38.429989,18.616164,62.390023
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-252,252,0,252,39.672995,19.202525,64.896522
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,magenta-255,255,0,255,40.847925,19.777479,66.932563
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-128,128,128,0,11.538561,14.116515,2.13401
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-224,224,224,0,39.436655,47.93921,7.505091
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-240,240,240,0,46.002053,55.79292,8.716348
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-248,248,248,0,49.46679,60.209891,9.413647
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-252,252,252,0,51.429358,62.551061,9.663672
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,yellow-255,255,255,0,52.904221,64.292945,9.920637
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,red-mix,192,64,64,16.732593,10.35309,4.305882
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,green-mix,64,192,64,15.226413,27.524328,7.636465
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,blue-mix,64,64,192,9.179429,5.689879,35.529103
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,skin-light,194,150,130,25.489147,24.236033,17.890907
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,skin-dark,115,82,68,7.366174,6.718087,4.483648
native-gamma22-brightness-20260913/slider-040-raw-103,gamma22,103,white-end,255,255,255,65.106146,68.728342,74.385501
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,white-start,255,255,255,103.295785,108.862531,118.056217
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-8,8,8,8,0.036195,0.0358,0.039602
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-12,12,12,12,0.097882,0.128239,0.100497
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-16,16,16,16,0.194176,0.206884,0.208932
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-24,24,24,24,0.540738,0.592038,0.584244
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-32,32,32,32,1.056077,1.137827,1.189452
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-48,48,48,48,2.521817,2.680498,2.862699
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-64,64,64,64,4.857711,5.197048,5.543928
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-96,96,96,96,11.753274,12.515994,13.356103
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-128,128,128,128,22.405931,23.793589,25.85307
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-160,160,160,160,36.693494,38.76146,42.427804
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-192,192,192,192,54.401339,57.771686,62.139251
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-224,224,224,224,77.137972,81.187093,88.583525
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-240,240,240,240,89.672607,94.329061,102.608995
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-248,248,248,248,96.374377,101.725844,110.06933
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,gray-252,252,252,252,100.229249,105.620134,114.505766
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-128,128,0,0,9.602069,5.000818,0.53556
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-224,224,0,0,33.390656,17.387031,1.812901
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-240,240,0,0,39.190137,20.344716,2.043047
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-248,248,0,0,42.587119,22.105726,2.166823
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-252,252,0,0,43.966447,22.840074,2.275531
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-255,255,0,0,45.394093,23.611991,2.288393
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-128,0,128,0,8.693803,17.357391,2.945161
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-224,0,224,0,29.849633,59.780843,10.232228
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-240,0,240,0,34.762952,69.579072,11.893541
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-248,0,248,0,37.377737,74.646385,12.674927
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-252,0,252,0,38.766695,77.516329,13.0839
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-255,0,255,0,39.783815,79.771447,13.460845
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-128,0,0,128,4.348245,1.768421,22.810012
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-224,0,0,224,14.829591,5.997794,77.659563
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-240,0,0,240,17.41261,7.039701,91.194906
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-248,0,0,248,18.762096,7.575456,98.05452
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-252,0,0,252,19.293007,7.816334,101.046003
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-255,0,0,255,19.889357,8.019228,104.190228
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-128,0,128,128,12.963019,18.924937,25.158763
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-224,0,224,224,44.149415,64.800467,86.464147
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-240,0,240,240,51.215068,75.330643,100.314095
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-248,0,248,248,55.128074,80.773483,108.829267
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-252,0,252,252,57.107453,83.869853,112.206835
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,cyan-255,0,255,255,58.589611,86.128554,115.402044
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-128,128,0,128,13.985315,6.764266,22.853088
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-224,224,0,224,48.056147,23.259835,78.616784
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-240,240,0,240,56.46057,27.312416,92.229485
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-248,248,0,248,60.844251,29.405661,99.119906
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-252,252,0,252,63.02508,30.391168,103.35974
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,magenta-255,255,0,255,64.939914,31.367262,106.363848
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-128,128,128,0,18.137104,22.123019,3.322674
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-224,224,224,0,62.562909,75.934338,11.716315
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-240,240,240,0,73.080227,88.444451,13.610611
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-248,248,248,0,78.577948,95.367603,14.703261
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-252,252,252,0,81.739246,99.209536,15.116767
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,yellow-255,255,255,0,84.073956,101.965091,15.491928
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,red-mix,192,64,64,26.547115,16.358123,6.709688
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,green-mix,64,192,64,23.968621,43.455662,11.903354
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,blue-mix,64,64,192,14.435756,8.903249,56.095742
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,skin-light,194,150,130,40.334594,38.088469,28.051753
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,skin-dark,115,82,68,11.566083,10.526383,6.987405
native-gamma22-brightness-20260913/slider-050-raw-128,gamma22,128,white-end,255,255,255,103.104358,108.610018,118.054711
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,white-start,255,255,255,155.921362,164.398323,177.708696
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-8,8,8,8,0.05086,0.050788,0.060249
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-12,12,12,12,0.14139,0.186206,0.142749
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-16,16,16,16,0.283718,0.302062,0.300826
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-24,24,24,24,0.810512,0.888362,0.870272
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-32,32,32,32,1.608905,1.733254,1.798601
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-48,48,48,48,3.802694,4.036894,4.30817
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-64,64,64,64,7.362096,7.866651,8.385399
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-96,96,96,96,17.892749,19.038601,20.247189
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-128,128,128,128,34.081285,36.098411,39.057437
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-160,160,160,160,55.767051,58.863698,64.0869
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-192,192,192,192,82.794461,87.779305,94.274135
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-224,224,224,224,116.827591,123.033808,133.853803
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-240,240,240,240,135.797261,142.905928,154.80438
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-248,248,248,248,145.746883,154.023704,165.995595
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,gray-252,252,252,252,151.502688,159.84902,172.738571
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-128,128,0,0,14.688853,7.638814,0.796149
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-224,224,0,0,51.004659,26.518024,2.740854
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-240,240,0,0,59.817824,31.009588,3.073728
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-248,248,0,0,64.961088,33.671273,3.262591
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-252,252,0,0,67.082292,34.795882,3.429787
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-255,255,0,0,69.244963,35.962405,3.434183
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-128,0,128,0,13.21423,26.4277,4.459439
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-224,0,224,0,45.463186,91.075913,15.535126
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-240,0,240,0,52.950626,106.101187,18.041281
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-248,0,248,0,56.858414,113.763401,19.205008
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-252,0,252,0,59.063952,118.245046,19.826111
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-255,0,255,0,60.606027,121.669888,20.396947
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-128,0,0,128,6.600231,2.670826,34.671813
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-224,0,0,224,22.481503,9.073238,117.837254
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-240,0,0,240,26.369866,10.640399,138.263882
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-248,0,0,248,28.397662,11.430115,148.619242
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-252,0,0,252,29.23231,11.806103,153.2627
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-255,0,0,255,30.129978,12.11539,157.97723
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-128,0,128,128,19.648546,28.774444,38.172899
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-224,0,224,224,66.891649,98.45585,130.853632
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-240,0,240,240,77.585842,114.37737,151.629308
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-248,0,248,248,83.467379,122.485446,164.401467
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-252,0,252,252,86.46766,127.238793,169.380364
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,cyan-255,0,255,255,88.663863,130.652135,174.526954
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-128,128,0,128,21.362806,10.319463,34.729337
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-224,224,0,224,73.081786,35.338372,119.085414
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-240,240,0,240,85.706333,41.375868,139.580175
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-248,248,0,248,92.391858,44.549992,150.003957
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-252,252,0,252,95.651074,46.084437,156.364305
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,magenta-255,255,0,255,98.554351,47.493065,160.958137
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-128,128,128,0,27.691831,33.753032,5.035498
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-224,224,224,0,95.11867,115.535719,17.726976
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-240,240,240,0,110.998027,134.448538,20.503607
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-248,248,248,0,119.457405,145.136362,22.175215
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-252,252,252,0,124.215158,150.872244,22.792188
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,yellow-255,255,255,0,127.702017,155.020699,23.348295
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,red-mix,192,64,64,40.583962,24.971889,10.184533
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,green-mix,64,192,64,36.578505,66.39049,18.064494
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,blue-mix,64,64,192,21.916914,13.510958,85.124078
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,skin-light,194,150,130,61.485611,58.03467,42.493856
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,skin-dark,115,82,68,17.657438,16.065459,10.62682
native-gamma22-brightness-20260913/slider-060-raw-153,gamma22,153,white-end,255,255,255,155.796884,164.291763,177.70827
native-gamma22-brightness-20260913/slider-070-raw-179,gamma22,179,white-start,255,255,255,232.586906,245.292595,265.408169
native-gamma22-brightness-20260913/slider-070-raw-179,gamma22,179,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-070-raw-179,gamma22,179,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-070-raw-179,gamma22,179,gray-8,8,8,8,0.074288,0.074945,0.090479
