dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-252,252,252,0,170.292706,206.826936,30.69969
native-gamma22-brightness-20260913/reference-173,gamma22,173,yellow-255,255,255,0,175.277012,212.772696,31.490227
native-gamma22-brightness-20260913/reference-173,gamma22,173,red-mix,192,64,64,55.377964,33.911759,13.66841
native-gamma22-brightness-20260913/reference-173,gamma22,173,green-mix,64,192,64,49.647372,90.462902,24.343669
native-gamma22-brightness-20260913/reference-173,gamma22,173,blue-mix,64,64,192,29.746396,18.22797,116.12527
native-gamma22-brightness-20260913/reference-173,gamma22,173,skin-light,194,150,130,83.622832,78.766627,57.606321
native-gamma22-brightness-20260913/reference-173,gamma22,173,skin-dark,115,82,68,23.853115,21.654534,14.290987
native-gamma22-brightness-20260913/reference-173,gamma22,173,white-end,255,255,255,213.107499,224.71488,243.21635
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,white-start,255,255,255,1.679801,1.77414,1.923009
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-8,8,8,8,0.002231,0.003707,0.005601
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-12,12,12,12,0.004391,0.005507,0.010257
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-16,16,16,16,0.005685,0.006711,0.010951
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-24,24,24,24,0.010302,0.011159,0.011614
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-32,32,32,32,0.018914,0.020499,0.01634
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-48,48,48,48,0.043955,0.045936,0.048742
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-64,64,64,64,0.08271,0.086663,0.094671
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-96,96,96,96,0.195635,0.207982,0.224916
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-128,128,128,128,0.3676,0.392164,0.427137
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-160,160,160,160,0.601155,0.637955,0.694772
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-192,192,192,192,0.89256,0.95087,1.024818
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-224,224,224,224,1.267823,1.340063,1.461606
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-240,240,240,240,1.469487,1.553117,1.683537
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-248,248,248,248,1.5783,1.672175,1.803985
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,gray-252,252,252,252,1.637092,1.735252,1.874976
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-128,128,0,0,0.148237,0.081688,0.012456
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-224,224,0,0,0.525633,0.280049,0.028329
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-240,240,0,0,0.619068,0.327994,0.033454
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-248,248,0,0,0.673571,0.356324,0.03591
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-252,252,0,0,0.696578,0.368719,0.038337
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-255,255,0,0,0.718412,0.380589,0.038465
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-128,0,128,0,0.148123,0.2819,0.048882
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-224,0,224,0,0.498134,0.973099,0.173896
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-240,0,240,0,0.577026,1.130878,0.201754
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-248,0,248,0,0.621274,1.21638,0.214578
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-252,0,252,0,0.644846,1.265705,0.221322
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-255,0,255,0,0.661683,1.302185,0.227254
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-128,0,0,128,0.077215,0.037446,0.376439
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-224,0,0,224,0.25007,0.110572,1.266962
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-240,0,0,240,0.291898,0.127641,1.486533
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-248,0,0,248,0.312871,0.136006,1.592665
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-252,0,0,252,0.321359,0.139861,1.639725
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-255,0,0,255,0.330891,0.143262,1.689003
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-128,0,128,128,0.222683,0.315348,0.417586
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-224,0,224,224,0.738226,1.07212,1.423023
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-240,0,240,240,0.854227,1.242513,1.643958
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-248,0,248,248,0.918131,1.331419,1.778648
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-252,0,252,252,0.950834,1.381817,1.831049
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,cyan-255,0,255,255,0.97539,1.419647,1.885214
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-128,128,0,128,0.226221,0.119114,0.378692
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-224,224,0,224,0.776532,0.388293,1.28959
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-240,240,0,240,0.913199,0.454044,1.511991
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-248,248,0,248,0.984079,0.488301,1.619992
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-252,252,0,252,1.017904,0.50459,1.685776
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,magenta-255,255,0,255,1.049503,0.520092,1.737114
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-128,128,128,0,0.295785,0.361587,0.057235
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-224,224,224,0,1.021562,1.243544,0.20024
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-240,240,240,0,1.189176,1.446042,0.231074
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-248,248,248,0,1.278734,1.5597,0.250008
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-252,252,252,0,1.327825,1.618826,0.256943
